Prp,Dsg,Avl,Shp,Grp,Use,D,B,T,W,BT,HW,K,K1,Dnom,Mass,A,Ix,Sx,Rx,Zx,Iy,Sy,Ry,Zy,J,Cw,Wn,Sw,Qf,Qw,SA,Ds_i,Dn_i,Wt_i
,,,,,,,,,,,,,,,,,10^6,10^3,,10^3,10^6,10^3,,10^3,10^3,10^9,,10^6,10^3,10^3,,,,
W: Wide-Flange Shapes,,,,,,mm,mm,mm,mm,,,mm,mm,mm,kg/m,mm^2,mm^4,mm^3,mm,mm^3,mm^4,mm^3,mm,mm^3,mm^4,mm^6,mm^2,mm^4,mm^3,mm^3,m,,in,lb/ft
*,W610x153,*,1,,3,623,229,24.9,14,4.6,40.9,47,27,610,153,19600,1250,4020,253,4600,50,437,50.5,682,2950,4470,34200,48.8,800,2280,2.13,W24x103,24,103
,W610x140,*,1,,3,617,230,22.2,13.1,5.18,43.7,44,27,610,140,17900,1120,3630,250,4150,45.1,392,50.3,613,2180,3990,34200,43.7,716,2060,2.13,W24x94,24,94
,W610x125,*,1,,3,612,229,19.6,11.9,5.84,48.1,41,26,610,125,15900,985,3220,249,3670,39.3,343,49.7,535,1540,3450,33900,38.1,630,1820,2.12,W24x84,24,84
,W610x113,*,1,,3,608,228,17.3,11.2,6.59,51.2,39,26,610,113,14400,875,2880,246,3290,34.3,300,48.7,469,1120,2990,33700,33.2,554,1630,2.11,W24x76,24,76
,W610x101,*,1,,3,603,228,14.9,10.5,7.65,54.6,37,26,610,101,13000,764,2530,243,2900,29.5,259,47.7,404,781,2550,33500,28.5,476,1430,2.1,W24x68,24,68
,W610x91,+,1,,3,598,227,12.7,9.7,8.94,59,35,25,610,91,11500,657,2200,239,2520,24.8,219,46.5,342,531,2120,33200,23.9,404,1240,2.08,W24x61,24,61
,W610x84,+,1,,3,596,226,11.7,9,9.66,63.6,34,25,610,84,10600,603,2020,239,2320,22.6,200,46.2,311,420,1920,33000,21.8,371,1140,2.08,W24x56,24,56
*,W610x92,*,1,,3,603,179,15,10.9,5.97,52.6,37,25,610,92,11800,651,2160,235,2530,14.4,161,34.9,259,738,1250,26300,17.7,371,1240,1.9,W24x62,24,62
,W610x82,*,1,,3,599,178,12.8,10,6.95,57.3,34,25,610,82,10500,565,1880,232,2210,12.1,136,34,219,510,1040,26100,14.9,315,1080,1.89,W24x55,24,55
*,W530x300,*,1,,3,585,319,41.4,23.1,3.85,21.7,63,32,530,300,38200,2210,7550,241,8670,225,1410,76.7,2180,17000,16600,43400,143,1660,4320,2.4,W21x201,21,201
,W530x272,*,1,,3,577,318,37.6,21.1,4.23,23.8,59,31,530,272,34600,1970,6840,239,7810,202,1270,76.4,1960,12800,14700,42900,128,1510,3890,2.38,W21x182,21,182
,W530x248,*,1,,3,571,315,34.5,19,4.57,26.4,56,30,530,248,31400,1770,6220,238,7060,180,1140,75.7,1760,9770,13000,42200,115,1370,3510,2.36,W21x166,21,166
,W530x219,*,1,,3,560,318,29.2,18.3,5.45,27.4,51,29,530,219,27900,1510,5390,233,6110,157,986,75,1520,6420,11000,42200,98,1160,3040,2.36,W21x147,21,147
,W530x196,*,1,,3,554,316,26.3,16.5,6.01,30.4,48,29,530,196,25000,1340,4840,231,5460,139,877,74.4,1350,4700,9640,41700,86.6,1040,2710,2.34,W21x132,21,132
,W530x182,*,1,,3,551,315,24.4,15.2,6.45,33,46,28,530,182,23100,1240,4480,231,5040,127,808,74.2,1240,3740,8820,41500,79.7,963,2500,2.33,W21x122,21,122
,W530x165,*,1,,3,546,313,22.2,14,7.05,35.8,44,27,530,165,21100,1110,4060,230,4550,114,726,73.4,1110,2830,7790,41000,71.2,869,2260,2.32,W21x111,21,111
,W530x150,*,1,,3,543,312,20.3,12.7,7.68,39.6,42,27,530,150,19200,1010,3710,229,4150,103,659,73.2,1010,2160,7030,40800,64.6,794,2060,2.31,W21x101,21,101
